iter	Passed	Remaining
0	0	78
1	1	66
2	1	59
3	2	54
4	2	53
5	3	51
6	3	49
7	4	46
8	4	45
9	4	44
10	5	43
11	5	43
12	6	43
13	7	43
14	7	42
15	8	42
16	8	41
17	9	41
18	9	40
19	9	39
20	10	38
21	10	38
22	11	37
23	11	36
24	12	36
25	12	35
26	13	35
27	13	35
28	14	34
29	14	34
30	15	33
31	15	33
32	16	32
33	16	31
34	16	31
35	17	30
36	17	30
37	18	29
38	18	29
39	19	28
40	19	28
41	19	27
42	20	27
43	20	26
44	21	25
45	21	25
46	22	25
47	22	24
48	23	23
49	23	23
50	24	23
51	24	22
52	25	22
53	25	21
54	26	21
55	26	20
56	27	20
57	27	19
58	28	19
59	28	18
60	28	18
61	29	17
62	29	17
63	30	16
64	30	16
65	31	16
66	31	15
67	32	15
68	32	14
69	33	14
70	33	13
71	33	13
72	34	12
73	34	12
74	35	11
75	35	11
76	36	10
77	36	10
78	36	9
79	37	9
80	37	8
81	38	8
82	38	7
83	39	7
84	39	7
85	40	6
86	40	6
87	41	5
88	41	5
89	42	4
90	42	4
91	43	3
92	43	3
93	43	2
94	44	2
95	44	1
96	45	1
97	45	0
98	46	0
99	46	0
